User_ID,Latitude,Longitude,Date,Time,Movement_Duration,Distance,Speed,Area_ID,Area_Name,Transport_Mode,Activity_Type,Weather,Day,Hour,Weekday,Weekend_Weekday
P4899,23.261746,77.410943,2025-11-18,21:47,14.29,2.98,13.45,AR05,Area_E,Bicycle,Work,Clear,Tuesday,21,1,Weekday
P4899,23.235611,77.416527,2025-11-24,07:39,5.23,4.45,62.97,AR05,Area_E,Motorbike,Work,,Monday,7,0,Weekday
P4899,23.171336,77.482691,2025-11-24,08:03,34.29,35.45,67.45,AR09,Area_I,Motorbike,Unknown,Clear,Monday,8,0,Weekday
P4899,23.332677,77.400937,2026-02-07,08:39,46.93,4.91,6.22,AR02,Area_B,Walking,,Clear,Saturday,8,5,Weekend
P4899,23.178415,77.482726,2025-12-10,18:04,40.34,18.18,36.72,AR09,Area_I,Bus,Social,Clear,Wednesday,18,2,Weekday
P4899,23.167783,77.486375,2025-12-18,17:23,64.48,2.9,2.87,AR09,Area_I,Walking,Unknown,Cloudy,Thursday,17,3,Weekday
P4899,23.196919,77.471821,2025-12-16,09:03,19.37,5.58,20.3,AR09,Area_I,Car,Commute,Cloudy,Tuesday,9,1,Weekday
P4899,23.248499,77.402679,2025-12-24,18:26,50.55,18.65,23.07,AR05,Area_E,Bicycle,Leisure,Cloudy,Wednesday,18,2,Weekday
P4899,23.199032,77.482664,2026-02-12,16:29,53.1,14.46,15.51,AR09,Area_I,Bicycle,Unknown,Clear,Thursday,16,3,Weekday
P4899,23.189833,77.475991,2026-02-18,08:24,7.9,9.65,68.95,AR09,Area_I,Bus,Social,Cloudy,Wednesday,8,2,Weekday
P1361,23.191847,77.333199,2025-11-27,07:14,5.86,5.6,52.81,AR07,Area_G,Motorbike,Leisure,Clear,Thursday,7,3,Weekday
P1361,23.243464,77.418829,2026-01-19,06:19,23.56,2.9,7.72,AR05,Area_E,Walking,Commute,Clear,Monday,6,0,Weekday
P1361,23.318849,77.469982,2025-12-17,16:26,11.73,8.92,47.08,AR03,Area_C,Bus,Education,Clear,Wednesday,16,2,Weekday
P1361,23.267083,77.42195,2025-11-23,07:55,19.11,1.49,4.79,AR05,Area_E,Walking,,Clear,Sunday,7,6,Weekend
P1361,23.264141,77.412391,2025-12-10,20:32,20.05,6.42,23.41,AR05,Area_E,Motorbike,Work,Fog,Wednesday,20,2,Weekday
P1361,23.231147,77.419248,2025-11-12,05:16,7.1,3.09,31.03,AR05,,Car,Work,,Wednesday,5,2,Weekday
P1361,23.24435,77.418872,2026-02-08,10:02,35.78,43.66,77.86,AR05,Area_E,Car,Commute,Clear,Sunday,10,6,Weekend
P1361,23.265942,77.402122,2025-11-09,08:32,14.62,20.17,79.08,AR05,Area_E,Bus,Shopping,Clear,Sunday,8,6,Weekend
P1361,23.304478,77.470244,2025-11-10,13:37,52.74,1.44,1.56,AR03,Area_C,Walking,Education,,Monday,13,0,Weekday
P1361,23.235015,77.414003,2026-02-21,08:36,27.75,6.14,17.44,AR05,Area_E,Bicycle,Social,Cloudy,Saturday,8,5,Weekend
P1361,23.258021,77.401964,2025-11-04,20:48,14.58,0.26,1.44,AR05,Area_E,Walking,Shopping,Cloudy,Tuesday,20,1,Weekday
P1361,23.356381,77.47727,2026-02-19,18:58,25.01,5.82,13.62,AR03,Area_C,Bicycle,,Cloudy,Thursday,18,3,Weekday
P1361,23.325022,77.478392,2026-01-10,07:47,99.36,23.24,15.47,AR03,Area_C,Bicycle,Education,Clear,Saturday,7,5,Weekend
P1361,23.258119,77.402262,2026-02-05,07:26,,7.71,53.78,AR05,Area_E,Motorbike,Commute,Clear,Thursday,7,3,Weekday
P1361,23.298865,77.490357,2026-02-23,18:36,25.12,6.98,16.31,AR03,Area_C,Bicycle,Education,Clear,Monday,18,0,Weekday
P1361,23.238227,77.401321,2026-02-14,15:11,8.52,1.52,13.76,AR05,Area_E,Bicycle,Leisure,Fog,Saturday,15,5,Weekend
P1361,23.247523,77.422297,2025-11-06,07:56,16.64,15.92,69.19,AR05,Area_E,Bus,Work,Cloudy,Thursday,7,3,Weekday
P1311,23.319262,77.41845,2025-11-13,08:05,26.46,1.76,4.03,AR02,Area_B,,Work,Clear,Thursday,8,3,Weekday
P1311,23.227871,77.343061,2025-11-29,21:29,28.94,13.68,39.15,AR04,Area_D,Car,Commute,Cloudy,Saturday,21,5,Weekend
P1311,23.263168,77.348895,2025-12-09,20:04,39.01,2.94,6.16,AR04,Area_D,Walking,Commute,Clear,Tuesday,20,1,Weekday
P1311,23.303802,77.350468,2026-02-25,17:26,8.61,10.97,70.93,AR01,Area_A,Bus,Social,Clear,Wednesday,17,2,Weekday
P1311,23.315951,77.411289,2025-11-10,11:14,52.61,4.19,4.65,AR02,Area_B,Walking,,Clear,Monday,11,0,Weekday
P1311,23.332977,77.336085,2026-01-23,17:30,10.14,3.09,21.97,AR01,Area_A,Car,Unknown,,Friday,17,4,Weekday
P1311,23.313314,77.425654,2026-01-07,13:33,8.85,0.62,5.1,AR02,Area_B,Walking,Shopping,Cloudy,Wednesday,13,2,Weekday
P1311,23.326647,77.333004,2025-12-10,07:38,15.35,5.36,29.79,AR01,Area_A,Bus,Commute,Clear,Wednesday,7,2,Weekday
P1311,23.185816,77.418448,2025-12-06,09:57,29.5,21.01,52.94,AR08,Area_H,Motorbike,Work,Cloudy,Saturday,9,5,Weekend
P1311,23.333623,77.419287,2025-11-29,02:58,22.09,1.57,5.84,AR02,Area_B,Walking,Commute,Clear,Saturday,2,5,Weekend
P1311,23.250228,77.339584,2025-12-30,19:54,20.69,1.75,5.61,AR04,Area_D,Walking,Commute,Clear,Tuesday,19,1,Weekday
P1311,23.329169,77.360251,2026-01-14,16:13,23.33,12.01,40.54,AR01,,Bus,Unknown,Clear,Wednesday,16,2,Weekday
P1311,23.245858,77.307554,2026-02-13,20:52,14.6,1.88,9.29,AR04,Area_D,Bicycle,Commute,Clear,Friday,20,4,Weekday
P1311,23.325828,77.324618,2026-01-11,09:35,21.55,12.0,40.2,AR01,Area_A,Bus,Commute,Cloudy,Sunday,9,6,Weekend
P1311,23.327503,77.336649,2026-02-06,00:33,24.3,26.44,74.14,AR01,Area_A,Car,Leisure,Clear,Friday,0,4,Weekday
P1311,23.301409,77.33387,2025-12-17,18:17,12.41,4.44,24.43,AR01,Area_A,Bicycle,Unknown,Clear,Wednesday,18,2,Weekday
P1311,23.314068,77.344788,2025-12-16,12:33,37.59,10.07,15.52,AR01,Area_A,,Unknown,,Tuesday,12,1,Weekday
P1311,23.325921,77.409516,2025-11-24,17:44,16.13,15.02,56.6,AR02,Area_B,Car,Commute,Clear,Monday,17,0,Weekday
P1311,23.320096,77.338616,2025-12-20,12:51,25.05,21.94,54.03,AR01,Area_A,,Social,Fog,Saturday,12,5,Weekend
P1311,23.181286,77.394649,2026-01-12,22:42,21.24,1.54,4.8,AR08,Area_H,Walking,,Clear,Monday,22,0,Weekday
P1311,23.333272,77.336053,2026-01-11,13:22,,14.22,49.06,AR01,Area_A,Car,,Cloudy,Sunday,13,6,Weekend
P1311,23.322836,77.328682,2025-12-06,08:47,8.57,6.26,52.65,AR01,Area_A,Motorbike,Unknown,Clear,Saturday,8,5,Weekend
P1311,23.191237,77.321456,2026-02-25,07:59,9.12,6.11,37.55,AR07,Area_G,Motorbike,Social,Clear,Wednesday,7,2,Weekday
P1311,23.331697,77.42572,2026-01-02,13:42,23.45,19.24,48.97,AR02,Area_B,Motorbike,Shopping,Clear,Friday,13,4,Weekday
P1311,23.33729,77.339498,2026-02-15,10:26,28.58,10.01,24.42,AR01,Area_A,Motorbike,Leisure,Rain,Sunday,10,6,Weekend
P1311,23.317825,77.415373,2026-02-16,11:48,8.67,4.11,39.68,AR02,Area_B,Motorbike,Leisure,Rain,Monday,11,0,Weekday
P1311,23.325358,77.339279,2026-01-29,21:52,12.93,1.77,11.74,AR01,Area_A,Bicycle,Social,Clear,Thursday,21,3,Weekday
P1311,23.304117,77.391516,2026-01-13,08:11,43.81,31.32,56.15,AR02,Area_B,Bus,Shopping,,Tuesday,8,1,Weekday
P1311,23.31023,77.412125,2025-12-31,09:37,17.05,16.12,73.11,AR02,Area_B,Bus,Shopping,Fog,Wednesday,9,2,Weekday
P1311,23.305784,77.422406,2026-01-02,12:35,17.19,1.54,6.63,AR02,Area_B,Walking,Shopping,Rain,Friday,12,4,Weekday
P1311,23.317962,77.496575,2026-01-18,05:10,26.85,13.23,37.84,AR03,Area_C,Car,,Clear,Sunday,5,6,Weekend
P1311,23.3127,77.317225,2025-12-31,12:09,8.96,9.52,73.4,AR01,Area_A,Bus,Social,,Wednesday,12,2,Weekday
P1311,23.307716,77.412438,2026-02-25,15:22,19.41,1.75,6.53,AR02,Area_B,Walking,Work,Clear,Wednesday,15,2,Weekday
P1311,23.313146,77.318701,2026-02-14,17:03,85.32,2.55,1.66,AR01,Area_A,,Leisure,Clear,Saturday,17,5,Weekend
P1311,23.329438,77.409533,2026-01-22,15:02,14.13,2.19,13.09,AR02,Area_B,Bicycle,,Rain,Thursday,15,3,Weekday
P1311,23.311584,77.414178,2025-11-11,15:14,13.72,1.29,5.69,AR02,Area_B,Walking,Leisure,Cloudy,Tuesday,15,1,Weekday
P1311,23.334723,77.34757,2026-02-23,18:59,18.53,21.29,76.08,AR01,Area_A,Bus,Commute,Clear,Monday,18,0,Weekday
P1311,23.339977,77.408916,2026-01-26,18:49,46.97,44.68,74.41,AR02,Area_B,Bus,Leisure,Clear,Monday,18,0,Weekday
P1311,23.328629,77.347479,2025-12-28,18:43,11.61,7.84,50.65,AR01,Area_A,Car,Commute,Clear,Sunday,18,6,Weekend
P1311,23.301017,77.340115,2026-01-09,06:12,21.71,4.06,13.84,AR01,Area_A,Bicycle,,Clear,Friday,6,4,Weekday
P1311,23.307433,77.41733,2025-11-19,10:59,28.01,22.56,50.75,AR02,Area_B,Car,Leisure,Fog,Wednesday,10,2,Weekday
P1311,23.351518,77.356202,2025-12-19,18:40,6.25,0.48,6.31,AR01,Area_A,Walking,Commute,Rain,Friday,18,4,Weekday
P1311,23.179394,77.469302,2025-12-21,14:13,17.4,7.35,33.29,AR09,Area_I,Car,Unknown,Cloudy,Sunday,14,6,Weekend
P1311,23.318235,77.410967,2026-01-05,18:38,31.73,4.98,13.31,AR02,Area_B,Bicycle,Shopping,Cloudy,Monday,18,0,Weekday
P3904,23.182742,77.487589,2026-02-04,15:50,12.86,3.19,15.27,AR09,Area_I,Bicycle,Commute,Cloudy,Wednesday,15,2,Weekday
P3904,23.198533,77.471924,2025-11-17,16:06,12.69,0.66,3.29,AR09,,Walking,Unknown,Cloudy,Monday,16,0,Weekday
P3904,23.241277,77.425592,2026-01-04,12:33,17.97,1.91,6.57,AR05,Area_E,Walking,Commute,Cloudy,Sunday,12,6,Weekend
P3904,23.234738,77.414764,2025-12-27,15:02,31.54,1.27,2.98,AR05,Area_E,Walking,Shopping,Clear,Saturday,15,5,Weekend
P3904,23.261131,77.419005,2026-02-24,15:15,25.74,1.79,4.29,AR05,Area_E,Walking,Shopping,Rain,Tuesday,15,1,Weekday
P3904,23.157371,77.484501,2025-11-27,10:16,59.78,35.3,32.22,AR09,Area_I,Car,Unknown,Clear,Thursday,10,3,Weekday
P3904,23.268585,77.405503,2026-01-07,21:08,,25.31,47.82,AR05,Area_E,Train,Leisure,Rain,Wednesday,21,2,Weekday
P3904,23.177352,77.483613,2025-11-03,09:30,22.0,15.8,57.2,AR09,Area_I,Car,Social,Clear,Monday,9,0,Weekday
P3904,23.193785,77.471216,2025-11-18,18:45,16.7,13.08,52.82,AR09,Area_I,Motorbike,Commute,Clear,Tuesday,18,1,Weekday
P3904,23.260251,77.412772,2026-01-24,11:10,11.19,1.83,11.7,AR05,Area_E,Bicycle,Social,Clear,Saturday,11,5,Weekend
P3904,23.316176,77.407965,2025-12-07,14:14,23.89,5.97,16.67,AR02,Area_B,Bicycle,Shopping,Clear,Sunday,14,6,Weekend
P3904,23.240269,77.417093,2026-01-04,16:24,16.23,1.5,5.26,AR05,Area_E,Walking,Work,Clear,Sunday,16,6,Weekend
P3904,23.235424,77.418569,2025-12-30,19:51,10.38,4.51,24.14,AR05,Area_E,Bus,Work,Clear,Tuesday,19,1,Weekday
P3904,23.174118,77.465457,2025-12-06,10:31,15.7,1.02,4.49,AR09,Area_I,Walking,Social,Fog,Saturday,10,5,Weekend
P3904,23.253885,77.424829,2025-11-16,07:59,11.1,0.35,1.98,AR05,Area_E,Walking,Work,Clear,Sunday,7,6,Weekend
P3904,23.167324,77.48753,2026-01-02,15:12,58.57,26.47,24.84,AR09,Area_I,Bicycle,Unknown,,Friday,15,4,Weekday
P3904,23.230581,77.439356,2025-11-29,10:00,10.71,0.34,2.26,AR05,Area_E,Walking,Social,Clear,Saturday,10,5,Weekend
P4835,23.242184,77.342657,2025-11-08,07:29,16.54,1.92,7.51,AR04,Area_D,Walking,Commute,Clear,Saturday,7,5,Weekend
P4835,23.302789,77.400934,2026-02-06,06:27,24.69,3.25,7.32,AR02,Area_B,Walking,Commute,Cloudy,Friday,6,4,Weekday
P4835,23.267765,77.341382,2026-01-12,20:28,30.49,14.49,27.44,AR04,Area_D,Car,Commute,Rain,Monday,20,0,Weekday
P4835,23.311276,77.438606,2026-02-16,18:26,20.31,4.05,12.11,AR02,Area_B,Bicycle,Leisure,Cloudy,Monday,18,0,Weekday
P4835,23.186204,77.404539,2025-11-22,12:32,11.01,3.89,21.6,AR08,Area_H,Bicycle,Work,,Saturday,12,5,Weekend
P4835,23.34041,77.40198,2025-11-26,18:07,17.17,,14.68,AR02,Area_B,Bicycle,Shopping,Clear,Wednesday,18,2,Weekday
P4835,23.310329,77.402536,2026-02-06,16:24,41.01,7.13,12.66,AR02,Area_B,Bicycle,Work,Rain,Friday,16,4,Weekday
P4835,23.241855,77.35214,2025-12-06,16:32,23.28,22.57,70.16,AR04,Area_D,Car,,Cloudy,Saturday,16,5,Weekend
P4835,23.255636,77.329944,2025-12-11,20:41,23.33,8.97,23.43,AR04,Area_D,Bicycle,Unknown,Rain,Thursday,20,3,Weekday
P4835,23.246148,77.340062,2025-12-29,10:31,7.93,3.94,36.07,AR04,Area_D,Bus,Commute,Fog,Monday,10,0,Weekday
P4835,23.235308,77.33446,2026-01-05,19:47,22.04,17.77,48.76,AR04,Area_D,Motorbike,Commute,Clear,Monday,19,0,Weekday
P4835,23.319624,77.392679,2025-11-17,13:30,14.24,11.47,67.74,AR02,Area_B,Car,Work,Clear,Monday,13,0,Weekday
P4835,23.326865,77.414509,2025-12-22,03:15,33.62,2.38,4.76,AR02,Area_B,Walking,Work,Clear,Monday,3,0,Weekday
P4835,23.242459,77.342177,2025-12-20,06:54,19.12,2.14,7.02,AR04,Area_D,Walking,Commute,Clear,Saturday,6,5,Weekend
P4835,23.30541,77.400105,2026-02-27,14:24,14.73,8.74,37.7,AR02,Area_B,Motorbike,Leisure,Cloudy,Friday,14,4,Weekday
P4835,23.310181,77.389405,2026-01-21,17:53,20.75,17.22,68.41,AR02,Area_B,Car,Work,Clear,Wednesday,17,2,Weekday
P4835,23.317364,77.486779,2025-12-20,14:43,,8.42,30.5,AR03,Area_C,Car,Education,Cloudy,Saturday,14,5,Weekend
P1526,23.240296,77.472695,2025-11-23,05:32,13.09,1.68,9.93,AR06,Area_F,Bicycle,Commute,Clear,Sunday,5,6,Weekend
P1526,23.248941,77.492121,2025-12-24,22:15,11.13,0.44,2.53,AR06,Area_F,Walking,Medical,Cloudy,Wednesday,22,2,Weekday
P1526,23.196594,77.41242,2026-01-22,09:44,18.32,0.7,2.2,AR08,Area_H,Walking,Work,Cloudy,Thursday,9,3,Weekday
P1526,23.181132,77.433933,2026-02-26,18:58,15.77,4.61,22.53,AR08,Area_H,,Commute,Clear,Thursday,18,3,Weekday
P1526,23.266058,77.492629,2026-02-08,07:09,9.02,0.52,4.26,AR06,Area_F,Walking,Unknown,Rain,Sunday,7,6,Weekend
P1526,23.178871,77.416044,2025-11-23,09:30,12.78,15.05,67.58,AR08,Area_H,,Work,Clear,Sunday,9,6,Weekend
P1526,23.264454,77.480951,2026-02-07,12:56,19.66,6.4,18.46,AR06,Area_F,Bicycle,,Rain,Saturday,12,5,Weekend
P1526,23.189863,77.416915,2026-02-11,08:34,12.06,0.89,5.13,AR08,Area_H,Walking,Work,Cloudy,Wednesday,8,2,Weekday
P1526,23.256487,77.505441,2026-02-28,14:17,20.11,2.53,8.21,AR06,Area_F,Bicycle,Medical,Rain,Saturday,14,5,Weekend
P1526,23.248403,77.478559,2026-01-22,16:01,26.63,11.04,23.89,AR06,Area_F,Bicycle,Medical,Rain,Thursday,16,3,Weekday
P1526,23.171728,77.415026,2026-01-02,14:02,13.39,1.48,6.19,AR08,Area_H,Walking,Work,Rain,Friday,14,4,Weekday
P1526,23.322452,77.412713,2026-01-14,06:52,20.38,5.55,21.8,AR02,Area_B,Bicycle,Work,Clear,Wednesday,6,2,Weekday
P1526,23.182584,77.48601,2025-12-27,17:20,17.03,0.3,1.48,AR09,Area_I,Walking,,Cloudy,Saturday,17,5,Weekend
P1526,23.263411,77.498134,2026-02-22,21:30,39.14,12.51,19.21,AR06,Area_F,Bicycle,Medical,Clear,Sunday,21,6,Weekend
P1526,23.184112,77.423896,2025-12-08,15:26,10.44,1.45,10.82,AR08,Area_H,Bicycle,Commute,Clear,Monday,15,0,Weekday
P1526,23.245461,77.468498,2025-11-18,20:13,,13.56,70.52,AR06,Area_F,Motorbike,Commute,Cloudy,Tuesday,20,1,Weekday
P5072,23.239612,77.495376,2025-12-02,16:31,13.46,6.59,29.42,AR06,Area_F,Motorbike,,Clear,Tuesday,16,1,Weekday
P5072,23.320003,77.483115,2026-02-01,15:28,4.8,0.54,8.89,AR03,Area_C,Bicycle,Education,Cloudy,Sunday,15,6,Weekend
P5072,23.319369,77.417357,2026-02-23,01:32,122.73,10.15,5.3,AR02,Area_B,Walking,,Clear,Monday,1,0,Weekday
P5072,23.262541,77.485664,2026-01-08,08:08,9.78,7.12,42.32,AR06,Area_F,Bus,Medical,Clear,Thursday,8,3,Weekday
P5072,23.320348,77.407002,2025-12-12,04:18,19.05,1.2,4.21,AR02,Area_B,Walking,,Clear,Friday,4,4,Weekday
P5072,23.256229,77.477604,2025-11-16,22:50,8.31,,2.04,AR06,Area_F,,Commute,Clear,Sunday,22,6,Weekend
P5072,23.324068,77.405564,2026-01-18,10:24,26.17,28.14,79.51,AR02,Area_B,Car,Work,Clear,Sunday,10,6,Weekend
P5072,23.341258,77.420508,2026-02-21,16:29,15.06,9.51,47.55,AR02,Area_B,Bus,Leisure,,Saturday,16,5,Weekend
P5118,23.230452,77.499164,2025-12-05,14:59,10.49,0.55,3.5,AR06,Area_F,,Unknown,Cloudy,Friday,14,4,Weekday
P5118,23.234801,77.479418,2026-01-02,01:40,50.6,12.68,15.0,AR06,Area_F,Bicycle,Medical,Cloudy,Friday,1,4,Weekday
P5118,23.33714,77.408378,2025-12-25,14:51,18.12,3.15,13.08,AR02,Area_B,Bicycle,,Clear,Thursday,14,3,Weekday
P5118,23.329184,77.392939,2026-02-14,18:55,22.16,10.4,34.06,AR02,Area_B,,Commute,,Saturday,18,5,Weekend
P5118,23.324536,77.432895,2026-02-11,13:06,32.67,0.59,1.21,AR02,Area_B,Walking,Work,Clear,Wednesday,13,2,Weekday
P5118,23.321216,77.397067,2025-11-11,22:12,20.08,6.72,20.1,AR02,Area_B,Bus,,Cloudy,Tuesday,22,1,Weekday
P5118,23.316786,77.473091,2025-12-01,02:22,19.37,1.3,5.62,AR03,Area_C,Walking,Commute,Cloudy,Monday,2,0,Weekday
P5118,23.27912,77.470196,2026-01-24,09:05,58.39,5.88,6.75,AR06,Area_F,Walking,Medical,Cloudy,Saturday,9,5,Weekend
P5118,23.182588,77.339497,2026-02-14,18:56,13.61,11.95,58.63,AR07,Area_G,Motorbike,,Clear,Saturday,18,5,Weekend
P5118,23.311177,77.398362,2026-02-10,08:07,5.5,5.05,57.39,AR02,Area_B,Motorbike,Commute,Clear,Tuesday,8,1,Weekday
P5118,23.241588,77.499219,2026-02-26,19:53,11.54,3.11,19.48,AR06,Area_F,Bicycle,Medical,Clear,Thursday,19,3,Weekday
P5118,23.331456,77.419709,2025-11-27,14:33,7.05,2.6,23.29,AR02,Area_B,Bicycle,Commute,Clear,Thursday,14,3,Weekday
P5118,23.332471,77.395752,2025-12-24,08:10,13.11,3.48,19.02,AR02,Area_B,Bicycle,Commute,Clear,Wednesday,8,2,Weekday
P5118,23.324396,77.399025,2025-12-02,08:32,30.27,9.88,24.91,AR02,Area_B,Bicycle,Shopping,,Tuesday,8,1,Weekday
P5118,23.217672,77.494914,2025-11-25,19:33,13.32,5.72,26.44,AR06,Area_F,Bus,Unknown,Clear,Tuesday,19,1,Weekday
P5118,23.259498,77.464916,2026-02-05,06:26,12.88,5.58,36.42,AR06,Area_F,Car,,Cloudy,Thursday,6,3,Weekday
P5118,23.257706,77.485351,2026-01-09,07:02,,7.78,64.23,AR06,Area_F,Train,Medical,,Friday,7,4,Weekday
P5118,23.314275,77.419131,2025-11-14,17:00,43.32,39.49,60.12,AR02,Area_B,Car,Commute,,Friday,17,4,Weekday
P5118,23.247841,77.490182,2025-12-27,12:45,16.78,0.94,4.0,AR06,Area_F,Walking,Commute,Clear,Saturday,12,5,Weekend
P5118,23.334166,77.432686,2025-12-12,16:26,19.36,4.71,16.61,AR02,Area_B,Bicycle,Work,Clear,Friday,16,4,Weekday
P5118,23.314815,77.411171,2026-02-17,16:46,13.41,3.57,14.97,AR02,Area_B,Bicycle,Shopping,Clear,Tuesday,16,1,Weekday
P5118,23.306728,77.409497,2025-11-09,20:22,60.31,11.75,11.56,AR02,Area_B,Bicycle,Shopping,Clear,Sunday,20,6,Weekend
P5118,23.231218,77.469243,2026-01-29,03:31,9.74,0.68,4.71,AR06,Area_F,Walking,Unknown,Clear,Thursday,3,3,Weekday
P5118,23.330571,77.409772,2025-12-24,12:37,19.31,6.67,23.67,AR02,Area_B,Bicycle,Shopping,Cloudy,Wednesday,12,2,Weekday
P5118,23.314623,77.411746,2026-02-27,15:44,20.86,1.05,4.13,AR02,Area_B,Walking,Work,Clear,Friday,15,4,Weekday
P5118,23.350249,77.420628,2025-11-26,09:46,12.47,16.22,78.02,AR02,Area_B,Motorbike,Shopping,Cloudy,Wednesday,9,2,Weekday
P5118,23.265851,77.484585,2026-01-18,13:48,10.37,0.41,2.31,AR06,Area_F,Walking,Commute,Clear,Sunday,13,6,Weekend
P5118,23.304602,77.391995,2025-11-03,08:25,23.85,20.07,55.68,AR02,Area_B,,Commute,Clear,Monday,8,0,Weekday
P5118,23.262949,77.480096,2025-11-06,20:39,23.49,20.1,53.14,AR06,Area_F,Bus,,Clear,Thursday,20,3,Weekday
P5118,23.325117,77.403269,2025-12-22,12:50,14.09,3.06,13.09,AR02,Area_B,,,Rain,Monday,12,0,Weekday
P5118,23.239122,77.47939,2025-11-22,06:24,39.39,7.14,12.67,AR06,Area_F,Bicycle,Medical,Clear,Saturday,6,5,Weekend
P5118,23.293112,77.47534,2025-11-02,16:25,34.32,0.81,1.61,AR03,Area_C,Walking,Commute,Clear,Sunday,16,6,Weekend
P5118,23.247744,77.483029,2025-11-17,09:48,7.0,2.76,26.92,AR06,Area_F,Car,Commute,Clear,Monday,9,0,Weekday
P5118,23.322018,77.420253,2025-12-31,08:31,22.27,6.14,19.57,AR02,Area_B,Bicycle,Shopping,Cloudy,Wednesday,8,2,Weekday
P5118,23.262717,77.462023,2026-01-23,15:21,60.27,35.6,43.63,AR06,Area_F,Train,,Clear,Friday,15,4,Weekday
P5118,23.319143,77.410379,2025-12-11,17:12,24.13,21.11,49.93,AR02,Area_B,Car,Commute,,Thursday,17,3,Weekday
P5118,23.299292,77.372674,2025-12-28,19:30,39.67,8.0,14.59,AR02,Area_B,Bicycle,Commute,Cloudy,Sunday,19,6,Weekend
P5455,23.186512,77.479828,2025-11-13,11:24,9.01,1.85,13.8,AR09,Area_I,Bicycle,Leisure,Clear,Thursday,11,3,Weekday
P5455,23.319523,77.482098,2026-01-03,16:45,18.31,4.8,20.31,AR03,Area_C,Bicycle,Social,Clear,Saturday,16,5,Weekend
P5455,23.259097,77.402195,2025-11-30,22:35,6.44,6.34,59.34,AR05,Area_E,Bus,Work,Fog,Sunday,22,6,Weekend
P5455,23.225823,77.397784,2026-01-15,08:13,10.96,4.3,29.52,AR05,Area_E,Car,Work,Clear,Thursday,8,3,Weekday
P5455,23.241149,77.410295,2025-11-02,10:22,67.9,3.4,3.22,AR05,Area_E,,Shopping,Clear,Sunday,10,6,Weekend
P5455,23.160849,77.487143,2026-01-01,18:12,11.86,2.49,13.22,AR09,Area_I,Bicycle,Social,,Thursday,18,3,Weekday
P5455,23.163778,77.325612,2025-12-01,00:06,35.09,1.07,2.18,AR07,Area_G,Walking,Social,Clear,Monday,0,0,Weekday
P5455,23.17666,77.485296,2026-01-02,18:39,18.04,14.1,59.05,AR09,Area_I,Bus,Unknown,Clear,Friday,18,4,Weekday
P5455,23.178917,77.487376,2026-02-25,08:43,5.73,4.65,46.25,AR09,Area_I,Motorbike,,Cloudy,Wednesday,8,2,Weekday
